0.3_stalin_desc,650_stalin_desc,783_stalin_desc,455_stalin_desc,324_stalin_desc,414_stalin_desc,615_stalin_desc,253_stalin_desc,289_stalin_desc,222_stalin_desc,383_stalin_desc,512_stalin_desc,177_stalin_desc,72_stalin_desc,185_stalin_desc,81_stalin_desc,429_stalin_desc,746_stalin_desc,490_stalin_desc,410_stalin_desc,155_stalin_desc,174_stalin_desc
,623.0,753,402.0,269.0,,,,,147.0,324.0,457.0,,,134.0,28.0,333.0,719.0,401.0,,83.0,131.0
,621.0,753,400.0,268.0,,,,,145.0,324.0,457.0,,,134.0,28.0,333.0,718.0,400.0,,81.0,131.0
,620.0,752,400.0,267.0,,,,,143.0,324.0,456.0,,,134.0,28.0,332.0,716.0,400.0,,81.0,131.0
,618.0,750,400.0,266.0,,,,,143.0,324.0,456.0,,,134.0,27.0,330.0,716.0,400.0,,78.0,131.0
,618.0,749,398.0,266.0,,,,,141.0,322.0,456.0,,,134.0,27.0,327.0,716.0,400.0,,78.0,130.0
,616.0,749,398.0,266.0,,,,,139.0,322.0,456.0,,,132.0,27.0,326.0,712.0,400.0,,78.0,130.0
,615.0,749,398.0,266.0,,,,,137.0,322.0,456.0,,,132.0,24.0,325.0,711.0,400.0,,75.0,130.0
,615.0,749,397.0,265.0,,,,,137.0,321.0,456.0,,,132.0,24.0,324.0,711.0,400.0,,75.0,130.0
,614.0,749,396.0,264.0,,,,,135.0,320.0,454.0,,,131.0,,324.0,710.0,400.0,,73.0,130.0
,614.0,749,396.0,264.0,,,,,133.0,318.0,453.0,,,129.0,,324.0,709.0,398.0,,73.0,130.0
,613.0,749,394.0,264.0,,,,,131.0,318.0,451.0,,,127.0,,322.0,707.0,397.0,,71.0,130.0
,613.0,749,392.0,264.0,,,,,129.0,316.0,450.0,,,127.0,,322.0,707.0,394.0,,71.0,130.0
,611.0,749,390.0,264.0,,,,,129.0,314.0,450.0,,,127.0,,319.0,707.0,393.0,,69.0,129.0
,610.0,748,390.0,262.0,,,,,129.0,314.0,450.0,,,127.0,,319.0,705.0,393.0,,69.0,128.0
,610.0,748,389.0,262.0,,,,,129.0,312.0,449.0,,,126.0,,319.0,704.0,392.0,,67.0,128.0
,610.0,748,389.0,261.0,,,,,127.0,310.0,448.0,,,126.0,,318.0,704.0,391.0,,65.0,127.0
,610.0,747,389.0,259.0,,,,,127.0,309.0,447.0,,,125.0,,317.0,704.0,389.0,,65.0,127.0
,610.0,747,388.0,259.0,,,,,127.0,308.0,444.0,,,124.0,,317.0,704.0,388.0,,63.0,126.0
,609.0,747,387.0,259.0,,,,,125.0,308.0,441.0,,,123.0,,315.0,704.0,388.0,,63.0,126.0
,603.0,746,387.0,259.0,,,,,123.0,308.0,441.0,,,123.0,,315.0,703.0,387.0,,63.0,125.0
,603.0,745,387.0,259.0,,,,,123.0,308.0,441.0,,,123.0,,314.0,701.0,386.0,,,124.0
,603.0,745,385.0,259.0,,,,,121.0,308.0,441.0,,,122.0,,314.0,701.0,385.0,,,123.0
,603.0,745,385.0,259.0,,,,,119.0,308.0,439.0,,,121.0,,314.0,700.0,384.0,,,123.0
,602.0,745,384.0,258.0,,,,,119.0,306.0,438.0,,,120.0,,313.0,699.0,383.0,,,123.0
,602.0,743,383.0,257.0,,,,,119.0,306.0,438.0,,,117.0,,312.0,699.0,380.0,,,123.0
